question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
Which French soldier was the Supreme Allied Commander at the end of World War I?,"{'aliases': array(['General Foch', 'Marshal Foch', 'Marechal Ferdinand Foch',
       'Marshall Foch', 'Marshal Ferdinand Foch', 'Ferdinand Foch',
       'Fernandad Foch', 'FERDINAND FOCH'], dtype=object), 'normalized_aliases': array(['general foch', 'marshal ferdinand foch',
       'marechal ferdinand foch', 'marshal foch', 'fernandad foch',
       'marshall foch', 'ferdinand foch'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'ferdinand foch', 'type': 'WikipediaEntity', 'value': 'FERDINAND FOCH'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,23.408912420272827,10474.0,9.0,0.0,0.020948,0.020948
Who has been the longest serving American President?,"{'aliases': array(['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR',
       'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt',
       'Franklin Delano Rosevelt', 'F. D. Roosevelt',
       'Franklin D. Roosevelt administration', 'Frank Roosevelt',
       'Franklin d roosevelt', 'Franklin Roosevelt Administration',
       'Franklin D Roosevelt', 'FD Roosevelt',
       '32nd President of the United States', 'Franklin Roosevelt',
       'Presidency of FDR', 'Franklin D. Roosevelt Administration',
       'A Summary of the Life of Franklin Delano Roosevelt',
       'Franklin Rosevelt', 'FRANKLIN D ROOSEVELT',
       'F. Roosevelt Administration', 'Franklin Roosevelt administration',
       'Presidency of Franklin D. Roosevelt', 'Fdr',
       'President Franklin Delano Roosevelt', 'F.D. Roosevelt',
       'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt',
       'Franklin Delano Roosevelt', 'Frankie D',
       'Frankin Delano Roosevelt',
       'Franklin Delano Roosevelt Administration',
       'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano',
       'F. D. R.', 'President Franklin Roosevelt',
       'Presidency of Franklin Delano Roosevelt',
       'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt'],
      dtype=object), 'normalized_aliases': array(['f d roosevelt', 'franklin d roosevelt administration',
       'f d roosevelt administration', 'franklin deleno roosevelt',
       'president franklin roosevelt', 'franklin rosevelt',
       'frankilin delano roosevelt', 'president franklin d roosevelt',
       'fd roosevelt', 'f roosevelt administration',
       'summary of life of franklin delano roosevelt',
       'franklin delano roosevelt administration',
       'franklin roosevelt administration',
       '32nd president of united states', 'f d r', 'frankin d roosevelt',
       'franklin roosevelt', 'presidency of franklin roosevelt',
       'presidency of fdr', 'frankin delano roosevelt', 'frankie d',
       'franklin delano rosevelt', 'roosevelt franklin delano',
       'frank roosevelt', 'presidency of franklin delano roosevelt',
       'franklin d rosevelt', 'presidency of franklin d roosevelt',
       'franklin d roosevelt', 'fdr', 'franklin delano roosevelt',
       'president franklin delano roosevelt'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'franklin d roosevelt', 'type': 'WikipediaEntity', 'value': 'FRANKLIN D ROOSEVELT'}",Franklin D. Roosevelt,True,1.0,1,10.732578992843628,2159.0,4.0,0.0,0.004318000000000001,0.004318000000000001
Which city is served by Louis Armstrong International Airport?,"{'aliases': array(['Big EZ', 'New Orléans, LA', 'Nouvelle-Orleans', 'No Orleans',
       'City of New Orleans, Louisiana', 'New Orleans, Louisiana, U.S.A.',
       'City of new orleans', 'Orleans Parrish', ""N'awlins"", 'New Orlean',
       'New Orleans, La.', 'Orleans Parish/New Orleans, Louisiana',
       'Orléans, Louisiana', 'Orleans Parish, LA', 'New Orleans',
       'New Orleans County', 'The Big EZ', 'Nawlins',
       'Little Woods, New Orleans', 'Orleans, Louisiana', 'New Orléans',
       'Orleans Parish/City of New Orleans, Louisiana',
       'North Shore Broadcasting', 'Entercom (New Orleans)',
       'New Orleans (La.)', 'NOLA', 'Nouvelle-Orléans',
       'New Orleans, USA', 'New Orleans, Lousiana', 'UN/LOCODE:USMSY',
       'No Orleans, Louisiana', 'New Orleans, Louisiana, USA',
       'The City of New Orleans', 'Orleans Parish, Louisiana',
       'New Orleans (LA)', 'Cresent City', 'Orleans Parish',
       'City of New Orleans', 'The Big Easy', 'NEW ORLEANS',
       'The Crescent City', 'Big Easy', 'Parish of Orleans',
       'La Nouvelle-Orleans', 'Nova Orleans', 'Choppa city',
       'La Nouvelle-Orléans', 'New Orlians', 'The City That Care Forgot',
       'New Orleans, Louisiana', 'Norleans', 'New orleans',
       'New Orleans, LA', 'New Orleans , LA', 'New Orléans, Louisiana'],
      dtype=object), 'normalized_aliases': array(['nova orleans', 'nouvelle orléans', 'nawlins',
       'new orleans county', 'no orleans', 'little woods new orleans',
       'orleans parish', 'new orlean', 'la nouvelle orléans', 'norleans',
       'crescent city', 'new orléans louisiana', 'choppa city',
       'no orleans louisiana', 'orleans parish new orleans louisiana',
       'orleans parish louisiana', 'new orléans', 'big ez',
       'un locode usmsy', 'north shore broadcasting',
       'new orleans louisiana usa', 'orleans louisiana', 'big easy',
       'new orleans louisiana u s', 'orleans parish la',
       'orleans parrish', 'new orleans lousiana', 'nola',
       'new orleans la', 'entercom new orleans', 'cresent city',
       'new orleans louisiana', 'orléans louisiana', 'parish of orleans',
       'city of new orleans louisiana', 'city that care forgot',
       'new orleans usa', 'n awlins', 'new orleans', 'nouvelle orleans',
       'orleans parish city of new orleans louisiana', 'new orlians',
       'new orléans la', 'city of new orleans', 'la nouvelle orleans'],
      dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'new orleans', 'type': 'WikipediaEntity', 'value': 'NEW ORLEANS'}",New Orleans,True,1.0,1,5.260527849197388,871.0,2.0,0.0,0.001742,0.001742
Coulomb is a unit of measurement of electrical?,"{'aliases': array(['Properties of charge', 'Charges', 'Charge',
       'Charge (disambiguation)', 'Charge!', 'Charged'], dtype=object), 'normalized_aliases': array(['charge', 'charge disambiguation', 'charges', 'charged',
       'properties of charge'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'charge', 'type': 'WikipediaEntity', 'value': 'Charge'}",electrical charge,False,0.6666666666666666,1,9.312568187713623,1826.0,4.0,0.0,0.0036520000000000007,0.0036520000000000007
What is the world's heaviest seed?,"{'aliases': array(['Coco-de-mer', 'Coco-De-Mer', 'Seychelles nut',
       'Double Coconut Palm', 'Coco de mer', 'Sea Coconut', 'COCO DE MER',
       'Double Coconut', 'Sea coconut', 'Lodoicea', 'Maldive Coconut',
       'Coco fesse', 'Double Cocnut', 'Lodoicea maldivica',
       'Double coconut', 'Coco de Mer', 'Double coconut palm'],
      dtype=object), 'normalized_aliases': array(['coco de mer', 'double coconut', 'maldive coconut',
       'double coconut palm', 'sea coconut', 'coco fesse',
       'lodoicea maldivica', 'seychelles nut', 'lodoicea',
       'double cocnut'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coco de mer', 'type': 'WikipediaEntity', 'value': 'COCO DE MER'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,21.230380058288574,15215.0,9.0,0.0,0.030429999999999995,0.030429999999999995
By what name is magnesium silicate more commonly known,"{'aliases': array(['E553b', 'Talcum', 'Talc powder', 'French chalk',
       'ATC code A02AA05', 'ATCvet code QA02AA05', 'Talcum powder',
       'Magnesium silicate', 'Talc', 'Magnesium Silicate',
       'Clinoenstatite', 'Talc (mineral)'], dtype=object), 'normalized_aliases': array(['talcum', 'talcum powder', 'e553b', 'french chalk', 'talc mineral',
       'magnesium silicate', 'atc code a02aa05', 'talc', 'clinoenstatite',
       'atcvet code qa02aa05', 'talc powder'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'talcum powder', 'type': 'WikipediaEntity', 'value': 'Talcum powder'}",Could not find the answer,False,0.0,0,20.491127490997314,5358.0,6.0,0.0,0.010716,0.010716
Which of the United States was the first to give women the vote?,"{'aliases': array(['State of Wyoming', 'Wyoming state symbols', 'Wyoming (state)',
       'Wyoming', 'Cowboy State', 'Geography of Wyoming',
       'Education in Wyoming', 'Transport in Wyoming',
       'Forty-Fourth State', 'Law and government of Wyoming',
       'Constitution of the State of Wyoming',
       'Symbols of the State of Wyoming', 'Wyoming metropolitan areas',
       'Wyoming economy', 'Constitution of Wyoming',
       'Demographics of Wyoming', 'Big Wonderful Wyoming',
       'Wyoming counties', 'Sports in Wyoming', 'Equality State',
       'Wyoming state nickname', 'The Equality State', 'WYOMING',
       'Religion in Wyoming', '44th State', 'Wyomingite', 'US-WY',
       'Wioming', 'Wyoming State Constitution', 'Economy of Wyoming',
       'Wyoming factsheet', 'Transportation in Wyoming',
       'Government of Wyoming', 'The Cowboy State', 'Politics of Wyoming',
       'Wyomingites', 'Wyoming (U.S. state)', 'Wyoming, United States',
       'Forty-fourth State', 'Wyo.', 'Climate of Wyoming'], dtype=object), 'normalized_aliases': array(['symbols of state of wyoming', 'demographics of wyoming',
       'wioming', 'government of wyoming', 'wyoming state',
       'wyoming united states', 'religion in wyoming',
       'economy of wyoming', 'us wy', 'climate of wyoming',
       'constitution of state of wyoming', '44th state',
       'geography of wyoming', 'transport in wyoming', 'wyoming',
       'constitution of wyoming', 'education in wyoming',
       'law and government of wyoming', 'wyoming economy',
       'wyoming state symbols', 'wyoming state nickname',
       'transportation in wyoming', 'wyomingite', 'state of wyoming',
       'wyo', 'sports in wyoming', 'cowboy state', 'forty fourth state',
       'wyoming metropolitan areas', 'wyoming state constitution',
       'wyoming factsheet', 'wyoming counties', 'big wonderful wyoming',
       'politics of wyoming', 'wyomingites', 'equality state',
       'wyoming u s state'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'wyoming', 'type': 'WikipediaEntity', 'value': 'WYOMING'}",nan,False,0.0,0,,,,,,
Which English town or city is served by Citadel railway station?,"{'aliases': array(['Carlisle (disambiguation)', 'Carlisle', 'Carlisle (city)',
       'Carlisleshire', 'CARLISLE'], dtype=object), 'normalized_aliases': array(['carlisle', 'carlisleshire', 'carlisle city',
       'carlisle disambiguation'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'carlisle', 'type': 'WikipediaEntity', 'value': 'Carlisle'}",Carlisle,True,1.0,1,7.811149835586548,1668.0,3.0,0.0,0.0033360000000000004,0.0033360000000000004
"What device, invented by Peter Cooper Hewitt in 1902 and obsolete by 1975 with the introduction of devices such as the silicon diode and thyristor, converts alternating current to direct current by means of putting electricity through vapor?","{'aliases': array(['Mercury vapor rectifier', 'Mercury-arc valve',
       'Mercury arc rectifier', 'Mercury-arc rectifier',
       'Mercury-vapor rectifier', 'Mercury arc valve'], dtype=object), 'normalized_aliases': array(['mercury arc rectifier', 'mercury arc valve',
       'mercury vapor rectifier'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'mercury arc rectifier', 'type': 'WikipediaEntity', 'value': 'Mercury arc rectifier'}",mercury-arc rectifier,False,0.4,1,12.929687738418579,2432.0,4.0,0.0,0.004864,0.004864
"Based in Seattle, the TV show Fraiser was a spinoff of what long running series?","{'aliases': array(['Charles-Burrows-Charles Productions', 'Charles-Burrows-Charles',
       'Cheers (TV show)', 'Charles/Burrows/Charles Productions',
       'Cheers', 'Cheers (TV series)', 'Cheers characters', ""Melville's"",
       'Charles Burrows Charles Productions'], dtype=object), 'normalized_aliases': array(['cheers characters', 'cheers', 'charles burrows charles',
       'charles burrows charles productions', 'cheers tv series',
       'melville s', 'cheers tv show'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cheers', 'type': 'WikipediaEntity', 'value': 'Cheers'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,20.211461305618286,6957.0,9.0,0.0,0.013914,0.013914
Dendrophobia is the irrational fear of which natural items?,"{'aliases': array(['Sapling', 'Macrophanerophyte', 'Parts of a tree', 'Big tree',
       'Arboreus', 'Tree', 'Trees', 'Treee', '🌳', 'The trees',
       'Wood layers', 'Treed', 'The Parts of a Tree'], dtype=object), 'normalized_aliases': array(['wood layers', 'big tree', 'trees', 'sapling', 'parts of tree',
       'treee', 'treed', 'arboreus', 'tree', 'macrophanerophyte', '🌳'],
      dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'trees', 'type': 'WikipediaEntity', 'value': 'Trees'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,20.58974552154541,11143.0,9.0,0.0,0.022286,0.022286
"In the 2008 film 'W, directed by Oliver Stone, who played George W. Bush?","{'aliases': array(['Pitz and Joe', 'Josh Brolin filmography', 'Pitz & Joe',
       'Josh J. Brolin', 'Pitz & Joe (film)', 'Josh Brolin',
       'JOSH BROLIN', 'Pitz and Joe (film)',
       'The Hunchback of Notre Dame (2014 film)'], dtype=object), 'normalized_aliases': array(['pitz and joe', 'pitz joe', 'pitz joe film',
       'josh brolin filmography', 'pitz and joe film',
       'hunchback of notre dame 2014 film', 'josh j brolin',
       'josh brolin'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'josh brolin', 'type': 'WikipediaEntity', 'value': 'JOSH BROLIN'}",Josh Brolin,True,1.0,1,7.399247169494629,1598.0,3.0,0.0,0.0031960000000000005,0.0031960000000000005
What Netflix exclusive programme chronicles the life of Piper Chapman and her experiences in an American State Prison?,"{'aliases': array(['Netflix: The Color Orange', 'Orange Is The New Black',
       'Orange is the New Black', 'Orange Is The New Black (TV series)',
       'OITNB', 'Orange is the new black', 'Orange Is the New Black'],
      dtype=object), 'normalized_aliases': array(['netflix color orange', 'orange is new black',
       'orange is new black tv series', 'oitnb'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'orange is new black', 'type': 'WikipediaEntity', 'value': 'Orange is the New Black'}",Orange Is the New Black,True,1.0,1,20.24773907661438,5589.0,7.0,0.0,0.011177999999999999,0.011177999999999999
