claim,label,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
David Schwimmer played a lawyer in American Crime Story in 2016.,SUPPORTS,SUPPORTS,True,1.0,1,0.7194004058837891,43,1,0,0.0008600000000000001,0.0008600000000000001
Omar Sharif was often cast as a foreigner.,SUPPORTS,SUPPORTS,True,1.0,1,0.41329431533813477,40,1,0,0.0008,0.0008
Eminem has lost every Grammy.,REFUTES,REFUTES,True,1.0,0,0.49661898612976074,38,1,0,0.00076,0.00076
Daz Dillinger raps.,SUPPORTS,SUPPORTS,True,1.0,0,0.4664015769958496,37,1,0,0.0007400000000000001,0.0007400000000000001
Alien: Covenant is a 2017 American science fiction horror film that broke records for opening weekend box office earnings.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.5106377601623535,51,1,0,0.00102,0.00102
Rachel McAdams took a break from acting in all of 2015.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.8965742588043213,44,1,0,0.00088,0.00088
Marlon Brando was in Viva Zapatal.,SUPPORTS,SUPPORTS,True,1.0,1,0.4615039825439453,42,1,0,0.00084,0.00084
Ray Romano worked with Gene Hackman.,SUPPORTS,SUPPORTS,True,1.0,1,0.37099123001098633,39,1,0,0.0007800000000000001,0.0007800000000000001
Marlon Brandon received acclaim.,SUPPORTS,SUPPORTS,True,1.0,0,0.7526943683624268,37,1,0,0.0007400000000000001,0.0007400000000000001
Joe Hart played in England.,SUPPORTS,SUPPORTS,True,1.0,1,0.3647909164428711,36,1,0,0.00072,0.00072
Reuters transmits news in Urdu and Farsi.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4154982566833496,42,1,0,0.00084,0.00084
Get Out's budget was $4.5 million.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5673725605010986,42,1,0,0.00084,0.00084
Destiny was made by Bethesda.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.6254880428314209,38,1,0,0.00076,0.00076
Tim Rice penned a 1970 rock opera with Andrew Lloyd Webber.,SUPPORTS,SUPPORTS,True,1.0,1,0.5233154296875,43,1,0,0.0008600000000000001,0.0008600000000000001
Jackie Robinson's uniform number was 42.,SUPPORTS,SUPPORTS,True,1.0,0,0.7062129974365234,39,1,0,0.0007800000000000001,0.0007800000000000001
The Lion King's main character is Scar.,REFUTES,SUPPORTS,False,0.0,0,0.435077428817749,39,1,0,0.0007800000000000001,0.0007800000000000001
Remote Control Productions has provided the scores for purple.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.43079662322998047,40,1,0,0.0008,0.0008
One-Punch Man is a series.,SUPPORTS,SUPPORTS,True,1.0,1,0.3446331024169922,39,1,0,0.0007800000000000001,0.0007800000000000001
The blue-ringed octopus only hunts hermit crabs.,REFUTES,REFUTES,True,1.0,0,0.4292786121368408,43,1,0,0.0008600000000000001,0.0008600000000000001
Karl Malone played in the ABA.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.7326431274414062,39,1,0,0.0007800000000000001,0.0007800000000000001
Marion Cotillard did not win a Golden Globe Award.,REFUTES,REFUTES,True,1.0,1,0.7820019721984863,42,1,0,0.00084,0.00084
Lewis Friedman wrote a documentary about Bob Marley.,SUPPORTS,SUPPORTS,True,1.0,1,0.4927558898925781,40,1,0,0.0008,0.0008
Green Day plays music.,SUPPORTS,SUPPORTS,True,1.0,1,0.43839430809020996,35,1,0,0.0007000000000000001,0.0007000000000000001
Judy Garland is deceased.,REFUTES,SUPPORTS,False,0.0,0,0.4586358070373535,36,1,0,0.00072,0.00072
Halle Berry is a person.,SUPPORTS,SUPPORTS,True,1.0,1,0.7377300262451172,37,1,0,0.0007400000000000001,0.0007400000000000001
Twitter distributed less than 40 million election-related tweets on the day of the 2016 U.S. presidential election.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.44477128982543945,54,1,0,0.00108,0.00108
David Angell was born in 2001.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.5923895835876465,39,1,0,0.0007800000000000001,0.0007800000000000001
Blue Velvet stars Isabella Rossellini.,SUPPORTS,SUPPORTS,True,1.0,1,1.0532171726226807,39,1,0,0.0007800000000000001,0.0007800000000000001
Social anxiety disorder causes distress in social situations which can impair daily living.,SUPPORTS,SUPPORTS,True,1.0,1,0.6451249122619629,44,1,0,0.00088,0.00088
Boromir makes an appearance in volume 1 of The Lord of the Rings.,SUPPORTS,SUPPORTS,True,1.0,1,0.41359496116638184,47,1,0,0.0009400000000000001,0.0009400000000000001
Warm Leatherette was released by a British-Armenian record label.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.4088602066040039,48,1,0,0.0009600000000000001,0.0009600000000000001
Kajal Aggarwal has an acting career.,SUPPORTS,SUPPORTS,True,1.0,1,0.4151492118835449,41,1,0,0.0008200000000000001,0.0008200000000000001
Cosmopolitan is often referred to as no other name.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.41936278343200684,42,1,0,0.00084,0.00084
John McCain is an aromatherapist.,NOT ENOUGH INFO,REFUTES,False,0.0,0,0.47547268867492676,38,1,0,0.00076,0.00076
John Cena is a professional writer only.,REFUTES,REFUTES,True,1.0,0,0.46095967292785645,38,1,0,0.00076,0.00076
Bali is a place,SUPPORTS,SUPPORTS,True,1.0,1,0.39853549003601074,35,1,0,0.0007000000000000001,0.0007000000000000001
Andy Samberg voice acted in a movie.,SUPPORTS,SUPPORTS,True,1.0,1,0.4841282367706299,39,1,0,0.0007800000000000001,0.0007800000000000001
Bon Scott was only involved in music in Seattle.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.6553864479064941,41,1,0,0.0008200000000000001,0.0008200000000000001
"In 1968 to 1969, Leicester City F.C. was a FA Cup finalist.",SUPPORTS,SUPPORTS,True,1.0,1,0.3513786792755127,48,1,0,0.0009600000000000001,0.0009600000000000001
Malcolm Young was a member from AC/DC.,SUPPORTS,SUPPORTS,True,1.0,1,0.7082667350769043,41,1,0,0.0008200000000000001,0.0008200000000000001
Stephon Marbury is a player in a basketball association.,SUPPORTS,SUPPORTS,True,1.0,1,0.5049691200256348,42,1,0,0.00084,0.00084
Tim Rice wrote a 1970 rock opera with someone.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5249993801116943,41,1,0,0.0008200000000000001,0.0008200000000000001
J.Lo includes provocative lyrics about 1980.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.5347914695739746,40,1,0,0.0008,0.0008
Farrah Fawcett is a woman.,SUPPORTS,SUPPORTS,True,1.0,1,0.7633829116821289,39,1,0,0.0007800000000000001,0.0007800000000000001
Monica Seles played tennis.,SUPPORTS,SUPPORTS,True,1.0,1,0.3937046527862549,37,1,0,0.0007400000000000001,0.0007400000000000001
Keanu Reeves played Bart Simpson in Johnny Mnemonic.,REFUTES,SUPPORTS,False,0.0,0,0.7308690547943115,41,1,0,0.0008200000000000001,0.0008200000000000001
Tom Hardy has acted in an adaptation of a novel.,SUPPORTS,SUPPORTS,True,1.0,1,0.4147043228149414,41,1,0,0.0008200000000000001,0.0008200000000000001
Daft Punk is a four-person band.,REFUTES,NOT ENOUGH INFO,False,0.0,0,1.7765188217163086,41,1,0,0.0008200000000000001,0.0008200000000000001
Dogstar (band) released two EPs.,REFUTES,SUPPORTS,False,0.0,0,0.41079115867614746,40,1,0,0.0008,0.0008
The Sea of Marmara is connected to the Aegean Sea.,SUPPORTS,SUPPORTS,True,1.0,1,0.47032833099365234,45,1,0,0.0009000000000000001,0.0009000000000000001
Carrie Fisher worked alone.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.43837571144104004,37,1,0,0.0007400000000000001,0.0007400000000000001
Priyanka Chopra was born in July.,SUPPORTS,SUPPORTS,True,1.0,1,0.4863862991333008,40,1,0,0.0008,0.0008
Liv Tyler performed in a film.,SUPPORTS,SUPPORTS,True,1.0,0,0.4810299873352051,38,1,0,0.00076,0.00076
Liana Liberato has yet to appear in any films.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.41709113121032715,43,1,0,0.0008600000000000001,0.0008600000000000001
English people were treated in a friendly fashion by Ayutthaya.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4624600410461426,44,1,0,0.00088,0.00088
Pan Am premiered.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5482637882232666,35,1,0,0.0007000000000000001,0.0007000000000000001
Seattle's earliest major industry was logging.,SUPPORTS,SUPPORTS,True,1.0,1,0.8217203617095947,38,1,0,0.00076,0.00076
Roald Dahl was born in a country.,SUPPORTS,SUPPORTS,True,1.0,0,0.8871793746948242,39,1,0,0.0007800000000000001,0.0007800000000000001
A Grammy award was won by Beautiful.,SUPPORTS,SUPPORTS,True,1.0,0,0.9827234745025635,38,1,0,0.00076,0.00076
The USS Constitution has open to visitors year round for free tours since 1954.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.440274715423584,45,1,0,0.0009000000000000001,0.0009000000000000001
The 2016 Summer Olympics took place in a stadium in Rio de Janeiro.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.7513957023620605,44,1,0,0.00088,0.00088
Ellen DeGeneres is a lesbian.,SUPPORTS,SUPPORTS,True,1.0,1,0.9853630065917969,39,1,0,0.0007800000000000001,0.0007800000000000001
Batman v Superman: Dawn of Justice is a live-action film.,SUPPORTS,SUPPORTS,True,1.0,1,0.8182218074798584,44,1,0,0.00088,0.00088
The United States Naval Academy is outside of the United States.,REFUTES,REFUTES,True,1.0,0,0.46793246269226074,42,1,0,0.00084,0.00084
Prometheus is a science-fiction horror film that involves aliens.,SUPPORTS,SUPPORTS,True,1.0,0,0.47643232345581055,43,1,0,0.0008600000000000001,0.0008600000000000001
Pierce Brosnan played the role of Bond.,SUPPORTS,SUPPORTS,True,1.0,1,0.7284400463104248,40,1,0,0.0008,0.0008
Emily Blunt has yet to win a BAFTA Britannia Award.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.41811633110046387,45,1,0,0.0009000000000000001,0.0009000000000000001
Wayne Rooney is a soccer player.,SUPPORTS,SUPPORTS,True,1.0,1,0.42922258377075195,38,1,0,0.00076,0.00076
There is a Christian state called Tuvalu.,SUPPORTS,SUPPORTS,True,1.0,1,0.4728679656982422,40,1,0,0.0008,0.0008
Adderall's active ingredient is pear.,REFUTES,REFUTES,True,1.0,1,0.36692285537719727,39,1,0,0.0007800000000000001,0.0007800000000000001
Lionel Messi won the FIFA World Player of the Year award in 2011.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.535097599029541,46,1,0,0.00092,0.00092
Judi Dench is an actor who has performed in many movies.,SUPPORTS,SUPPORTS,True,1.0,1,0.4387476444244385,44,1,0,0.00088,0.00088
Nerrukku Ner is a work.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5080499649047852,41,1,0,0.0008200000000000001,0.0008200000000000001
Queen Latifah won a Grammy for her first album.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.42086243629455566,42,1,0,0.00084,0.00084
Christopher Nolan is a director.,SUPPORTS,SUPPORTS,True,1.0,1,0.4934074878692627,36,1,0,0.00072,0.00072
Archimedes was not an author.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.4892115592956543,39,1,0,0.0007800000000000001,0.0007800000000000001
Robert Browning was a poet.,SUPPORTS,SUPPORTS,True,1.0,0,0.4497106075286865,37,1,0,0.0007400000000000001,0.0007400000000000001
Mango is a fruit grown on a tree.,SUPPORTS,SUPPORTS,True,1.0,1,0.4627394676208496,40,1,0,0.0008,0.0008
Samuel L. Jackson has appeared in Die Hard with a Vengeance and was lauded for his performance.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.5333261489868164,50,1,0,0.001,0.001
Emily Blunt was in a film adaptation of Harry Potter and the Goblet of Fire.,NOT ENOUGH INFO,REFUTES,False,0.0,0,0.5952353477478027,48,1,0,0.0009600000000000001,0.0009600000000000001
Little Big Shots premiered on a channel.,SUPPORTS,SUPPORTS,True,1.0,0,0.48734474182128906,38,1,0,0.00076,0.00076
Clark Gable wasn't an extra in silent films.,REFUTES,REFUTES,True,1.0,1,0.39613842964172363,41,1,0,0.0008200000000000001,0.0008200000000000001
Tyne Daly performed in Mothers and Sons.,SUPPORTS,SUPPORTS,True,1.0,1,0.7486112117767334,39,1,0,0.0007800000000000001,0.0007800000000000001
Saswata Chatterjee does television work.,SUPPORTS,SUPPORTS,True,1.0,1,0.6576206684112549,41,1,0,0.0008200000000000001,0.0008200000000000001
Thor: The Dark World was released.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.41931962966918945,39,1,0,0.0007800000000000001,0.0007800000000000001
A Song of Ice and Fire is by a someone who produces television shows.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.4721097946166992,46,1,0,0.00092,0.00092
Audrey Hepburn starred in a movie.,SUPPORTS,SUPPORTS,True,1.0,1,0.4240734577178955,39,1,0,0.0007800000000000001,0.0007800000000000001
