question,answer,label,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Brian is a real estate agent. He makes a 2% commission on each sale. During June, he sold three houses. The houses sold for $157,000, $499,000, and $125,000. What was Brian’s total commission on these three sales?","Brian sold houses for 157,000 + 499,000 + 125,000 = $<<157000+499000+125000=781000>>781,000 in total.
Brian's commission was 781,000 * 0.02 = $<<781000*0.02=15620>>15,620
#### 15,620","15,620"," $15,620.",True,1.0,1,8.282740354537964,476,3,0,0.0009519999999999999,0.0009519999999999999
"Karen's students are about to take a standardized test. Karen gets a $500 bonus if their average score is above 75, plus an extra $10 bonus for every additional point the average score increases above 75. So far, Karen has graded 8 tests, and the average is 70. Given that each student can have a maximum score of 150, what combined score do the last two tests need to have for Karen to earn a $600 bonus?","First subtract $500 from Karen's goal bonus amount to find how much she makes from the extra $10/point bonus: $600 - $500 = $<<600-500=100>>100
Then divide the extra bonus by the extra rate: $100 / $10/point = <<100/10=10>>10 points
Then add the 10 extra points to the baseline 75 point goal to find the students' average test score: 10 points + 75 points = <<10+75=85>>85 points
Then added the 8 graded tests to the 2 ungraded tests to find the total number of tests: 2 tests + 8 tests = <<2+8=10>>10 tests
Then multiply the 85 point average by the number of tests to find the total number of points the students need to earn: 85 points/test * 10 tests = 850 points
Then multiply the current average by the current number of graded tests to find how many points have been earned so far: 70 points/test * 8 tests = <<70*8=560>>560 points
Then subtract the number of points earned from the number of points needed to find the combine score the last two tests need: 850 points - 560 points = <<850-560=290>>290 points
#### 290",290, 220,False,0.0,0,11.942739009857178,629,3,0,0.001258,0.001258
"Maddy is in college for 8 semesters. She needs 120 credits to graduate. If each class is 3 credits, how many classes does she need to take per semester?","120 credits / 3 credits is <<120/3=40>>40.
40 credits/ 8 semester = <<40/8=5>>5 classes per semester.
Maddy needs to take 5 classes per semester
#### 5",5, 5 classes per semester.,False,0.4,1,7.451302766799927,454,3,0,0.000908,0.000908
"An eagle can fly 15 miles per hour; a falcon can fly 46 miles per hour; a pelican can fly 33 miles per hour; a hummingbird can fly 30 miles per hour. If the eagle, the falcon, the pelican, and the hummingbird flew for 2 hours straight, how many miles in total did the birds fly?","An eagle can fly 15 x 2 = <<15*2=30>>30 miles for 2 hours.
A falcon can fly 46 x 2 = <<46*2=92>>92 miles for 2 hours.
A pelican can fly 33 x 2 = <<33*2=66>>66 miles for 2 hours.
A hummingbird can fly 30 x 2 = <<30*2=60>>60 miles for 2 hours.
Therefore, the birds flew a total of 30 + 92 + 66 + 60 = <<30+92+66+60=248>>248 miles for 2 hours.
#### 248",248, 248 miles,False,0.6666666666666666,1,11.67015814781189,563,4,0,0.001126,0.001126
"Karen bakes 50 chocolate chip cookies. She keeps 10 for herself, and she gives 8 to her grandparents. If Karen wants to give everyone in her class cookies, and there are 16 people in her class, how many cookies will each person receive?","After keeping 10 cookies for herself, Karen has 50 - 10 = <<50-10=40>>40 cookies.
After giving cookies to her grandparents, Karen has 40 - 8 = <<40-8=32>>32 cookies.
Karen can give each person in her class 32 / 16 = <<32/16=2>>2 cookies.
#### 2",2, 2,True,1.0,1,5.767390966415405,431,3,0,0.0008619999999999999,0.0008619999999999999
Josie received $50 as a gift. She plans to buy two cassette tapes that cost $9 each and a headphone set that costs $25. How much money will she have left?,"The cassette tapes will cost 2 × 9 = $<<2*9=18>>18.
She spends 18 + 25 = $<<18+25=43>>43 in total.
Josie will have 50 - 43 = $<<50-43=7>>7 left.
#### 7",7, $7,True,1.0,1,7.633347988128662,451,4,0,0.0009019999999999999,0.0009019999999999999
"Candied yams fly off the shelf during the holiday season. The store buys them in bulk boxes of 25 packages. If every third shopper buys a package of candied yams, how many bulk boxes of candied yams will the store need to order for their 375 predicted holiday shoppers?","Every third shopper buys a package of candied yams, so the store will need 375 / 3 = <<375/3=125>>125 packages.
At 25 packages per bulk box, the store will need 125 / 25 = <<125/25=5>>5 bulk boxes of candied yams.
#### 5",5, 5.,True,1.0,1,10.391036748886108,534,3,0,0.001068,0.001068
"Two sisters go to the movies.  Movie tickets are $8 per person.  If the sisters brought $25 with them, how much change will they receive after buying the tickets?","Movie tickets cost for two people is $8 x 2 = $<<8*2=16>>16.
The sisters will receive change of $25 - $16 = $<<25-16=9>>9.
#### 9",9, $9,True,1.0,0,6.240384578704834,430,3,0,0.00086,0.00086
"At a certain school, 2/3 of the population are females. One-tenth of the males are foreign students. If the school has 300 students, how many students are non-foreign male students?","There are 300 x 2/3 = <<300*2/3=200>>200 females in the school.
So, 300 - 200 = <<300-200=100>>100 are males.
Out of the 100 males, 100 x 1/10 = <<100*1/10=10>>10 are male foreign students.
Thus, there are 100 - 10 = <<100-10=90>>90 non-foreign male students.
#### 90",90, 90,True,1.0,1,13.72386646270752,550,4,0,0.0010999999999999998,0.0010999999999999998
Mark is injured so decides to spend more time reading.  He used to read 2 hours a day but increased that by 150%.  Before he read 100 pages a day.  How many pages does he read a week now?,"His reading speed is 100/2=<<100/2=50>>50 pages a day
He reads 2*1.5=<<2*1.5=3>>3 hours more now than before
So now he reads 2+3=<<2+3=5>>5 hours per day
That means he reads 5*50=<<5*50=250>>250 pages per day
So he reads 250*7=<<250*7=1750>>1750 pages a week
#### 1750",1750, 1750,True,1.0,1,9.619955062866211,506,3,0,0.0010119999999999999,0.0010119999999999999
Tracy set up a booth at an art fair. 20 people came to look at her art. Four of those customers bought two paintings each. The next 12 of those customers bought one painting each. The last 4 customers bought four paintings each.  How many paintings did Tracy sell at the art fair?,"The first 4 customers bought 4*2=<<4*2=8>>8 paintings
The next 12 customers bought 12*1=<<12*1=12>>12 paintings
The last 4 customers bought 4*4=<<4*4=16>>16 paintings
In total Tracy sold 8+12+16=<<8+12+16=36>>36 paintings
#### 36",36, 36,True,1.0,1,5.299108982086182,447,2,0,0.0008939999999999999,0.0008939999999999999
John and his two brothers decide to split the cost of an apartment.  It is 40% more expensive than John's old apartment which costs $1200 per month.  How much does John save per year by splitting the apartment compared to living alone?,"His old apartment cost 1200*12=$<<1200*12=14400>>14,400 per year
His new apartment 1200*1.4=$<<1200*1.4=1680>>1680 per month
That means it cost 1680/3=$<<1680/3=560>>560 per month
So it cost 560*12=$<<560*12=6720>>6720
So he saves 14400-6720=$<<14400-6720=7680>>7680
#### 7680",7680, $7680,True,1.0,1,11.543627977371216,532,3,0,0.001064,0.001064
"Andrew bought a big bag of balloons. The bag had 303 blue balloons and 453 purple balloons. If Andrew shares half of his balloons with his brother, how many balloons does he have left?","There are 303 + 453 = <<303+453=756>>756 balloons in the bag.
Once Andrew gives half of his balloons to his brother he has 756/2=<<756/2=378>>378 balloons left.
#### 378",378, 378,True,1.0,1,6.371568441390991,430,3,0,0.00086,0.00086
"Bobby has three squares of fabric that he will turn into a flag. The first square is 8 feet by 5 feet. The second one is 10 feet by 7 feet. The third one is 5 feet by 5 feet. If he wants his flag to be 15 feet long, how tall will it be?","The first square is 40 square feet because 8 x 5 = <<8*5=40>>40
The second square is 70 feet because 10 x 7= <<10*7=70>>70
The third square is 25 feet because 5 x 5 = <<5*5=25>>25
The total square footage is 135 feet because 40 + 70 + 25 = <<40+70+25=135>>135
The flag will be 9 feet tall because 135 / 15 = <<135/15=9>>9
#### 9",9, 9 feet,False,0.6666666666666666,0,8.495309829711914,494,2,0,0.000988,0.000988
"On a tough week, Haji's mother sells goods worth $800, which is half the amount she sells on a good week. What's the total amount of money she makes if she has 5 good weeks and 3 tough weeks?","If on a tough week she sells half what she sells on a good week, then on a good week she sells 800*2 = <<800*2=1600>>1600 dollars.
If she had 5 good weeks, the amount is 5*1600 = <<5*1600=8000>>8000 dollars.
During the 3 tough weeks, she sells 3*800 = <<3*800=2400>>2400 dollars.
The total amount she sold in both weeks is 2400+8000 = <<2400+8000=10400>>10400 dollars.
#### 10400",10400, $10400,True,1.0,1,6.7760114669799805,499,4,0,0.000998,0.000998
"The sewers in Middleton can handle 240,000 gallons of run-off. Each hour of rain produces 1000 gallons of runoff. How many days of rain can the sewers handle before they overflow?","First find how many hours of runoff the sewers can handle: 240,000 / 1000 gallons/hour = <<240000/1000=240>>240 hours
Then divide that time by the number of hours per day to find how many days of rain the sewers can handle: 240 hours / 24 hours/day = <<240/24=10>>10 days
#### 10",10, 10 days,False,0.6666666666666666,1,6.999200105667114,451,3,0,0.0009019999999999999,0.0009019999999999999
"Last year Jessica paid $1000 for rent, $200 for food, and $100 for car insurance each month. This year her rent goes up by 30%, food costs increase by 50%, and the cost of her car insurance triples because she was at fault in an accident. How much more does Jessica pay for her expenses over the whole year compared to last year?","First find the increase in rent by multiplying last year's rent by 30%: $1000 * .3 = $<<1000*.3=300>>300
Then find the food cost increase by multiplying last year's costs by 50%: $200 * .5 = $<<200*.5=100>>100
Then find the new car insurance price by multiplying last year's price by 3: $100 * 3 = $<<100*3=300>>300
Then subtract the cost of car insurance last year from this year's price to find the increase: $300 - $100 = $<<300-100=200>>200
Now find how much Jessica's monthly expenses increased by adding the increases in each of the three costs: $300 + $100 + $200 = $<<300+100+200=600>>600
Now multiply the increase per month by the number of months in a year to find the annual increase: $600/month * 12 months/year = $<<600*12=7200>>7200/year
#### 7200",7200,Total expenses this year = $,False,0.0,0,15.07949948310852,630,2,0,0.0012599999999999998,0.0012599999999999998
"A big snowstorm caused a large amount of snow to fall onto Grandpa's farm, and the wind caused the snow to pile up into a drift.  But on the second day, it warmed up enough that half of the snowdrift melted.  The third day, it snowed again, adding another 6 inches of snow onto the snowdrift.  On the fourth day, another 18 inches of snow fell onto the snowdrift.  If the snowdrift was 34 inches deep at the end of the fourth day, how deep in inches was the drift at the end of the first day?","The third and fourth day contributed 6+18=<<6+18=24>>24 inches to the depth of the snowdrift.
Therefore, the size of the snowdrift after half was melted on the second day, but before the snowfall on the third and fourth day, was 34-24=<<34-24=10>>10 inches.
If the size of the drift on the second day, after half of the snow had melted, was 10 inches, then the depth of the original drift created on day 1 was 2*10=20 inches deep.
#### 20",20,The depth of the snowdrift,False,0.0,0,16.037848711013794,681,7,0,0.001362,0.001362
Barbara has 9 stuffed animals. Trish has two times as many stuffed animals as Barbara. They planned to sell their stuffed animals and donate all the money to their class funds. Barbara will sell her stuffed animals for $2 each while Trish will sell them for $1.50 each. How much money will they donate to their class funds?,"Barbara will be able to sell all her stuffed animals for 9 x $2 = $<<9*2=18>>18.
Trish has 9 x 2 = <<9*2=18>>18 stuffed animals.
Trish will be able to sell all her stuffed animals for 18 x $1.50 = $<<18*1.5=27>>27.
Therefore, they will donate a total of $18 + $27 = $<<18+27=45>>45 to their class funds.
#### 45",45, $45,True,1.0,1,9.802340745925903,519,3,0,0.0010379999999999999,0.0010379999999999999
"A school bus has 4 columns and 10 rows of seats. If the school has 6 buses, how many students can the buses accommodate?","Each bus can accommodate 10 x 4 = <<10*4=40>>40 students.
Therefore, 40 x 6 = <<40*6=240>>240 students can be accommodated by the six busses.
#### 240",240, 240,True,1.0,1,7.324227809906006,430,3,0,0.00086,0.00086
Jenny has 6 Pokemon cards. Orlando has 2 more cards than Jenny. Richard has three times as many cards as Orlando. How many Pokemon cards do they have in all?,"Jenny has 6 cards.
Orlando has 2 more cards than Jenny, so Orlando has 6 + 2 = 8 cards
Richard has 3 times the number of cards Orlando has. so Richard has 8 * 3 = <<8*3=24>>24 cards
Together, they have 6 + 8 + 24 = <<6+8+24=38>>38 cards
#### 38",38, 38 cards.,False,0.6666666666666666,1,8.327610492706299,455,3,0,0.00091,0.00091
"Tammy just got her hair cut. For every 14 haircuts, she gets a free additional haircut. She has gotten 5 free haircuts already. She is 5 haircuts away from another free one. How many haircuts has she gotten there?","She has gotten 70 haircuts to get 5 free ones because 14 x 5 = <<70=70>>70
She has gotten 9 haircuts towards her 6th free one because 14 - 5 = <<14-5=9>>9
She has gotten 79 haircuts because 70 + 9 = <<70+9=79>>79
#### 79",79, 79,True,1.0,1,7.604705333709717,494,3,0,0.000988,0.000988
Mark has 3 tanks for pregnant fish.  Each tank has 4 pregnant fish and each fish gives birth to 20 young.  How many young fish does he have at the end?,"He has 4*3=<<4*3=12>>12 pregnant fish
They give birth to 12*20=<<12*20=240>>240 fish
#### 240",240, 240,True,1.0,1,4.639517545700073,396,2,0,0.000792,0.000792
"Harris feeds his dog 1 large organic carrot over the course of 1 day.  There are 5 carrots in a 1 pound bag and each bag costs $2.00.  In one year, how much will Harris spend on carrots?","His dog gets 1 carrot a day and there are 365 days in a year, so his dog eats 1*365 = <<1*365=365>>365 carrots
There are 5 carrots per bag and he will need 365 carrots, so that's 365/5 = 73 bags of carrots
The bags cost $2.00 and he will need 73 bags so that's $2*73 = $<<2*73=146.00>>146.00 worth of organic carrots
#### 146",146, $146.,True,1.0,0,11.507409811019897,516,2,0,0.001032,0.001032
"During her first year playing soccer, Tara's dad attended 90% of the games she played.  In her second year playing soccer, Tara's dad attended 4 fewer games than he did in the previous year.  If Tara played 20 games each year, how many games did Tara's dad attend in her second year playing soccer?","In her first year, Tara's dad attended 20*0.9 = <<20*0.9=18>>18 games.
Then, in her second year, Tara's dad attended 18 - 4 = <<18-4=14>>14 games.
#### 14",14, 14,True,1.0,1,7.622088670730591,471,2,0,0.0009419999999999999,0.0009419999999999999
"Jemma saw 7 grasshoppers on her African daisy plant.  Then, hopping on the grass under the plant, she found 2 dozen baby grasshoppers.  How many grasshoppers did  Jemma find altogether?","Jemma found 2 x 12 = <<2*12=24>>24 baby grasshoppers.
In total, she found 24 + 7 = <<24+7=31>>31 grasshoppers.
#### 31",31, 31,True,1.0,1,6.1761863231658936,427,3,0,0.0008539999999999999,0.0008539999999999999
"In a city, the number of people living per cubic yard is 80. How many more people are in a city with 9000 cubic yards than a city with 6400 cubic yards?","The difference in cubic yards between the two cities is 9000-6400 = <<9000-6400=2600>>2600 cubic yards.
Since the number of people living in a city per cubic yard is 80, there are 80*2600 = 208000 more people living in a city with 9000 cubic yards than a city with 6400 cubic yards.
#### 208000",208000," 208,000",True,1.0,1,7.705568790435791,487,3,0,0.0009739999999999999,0.0009739999999999999
"Colin can skip at six times the speed that Brandon can.  Brandon can skip at one-third the speed that Tony can.  And Tony can skip at twice the speed that Bruce can.  At what speed, in miles per hour, can Colin skip if Bruce skips at 1 mile per hour?","Tony can skip at twice the speed that Bruce can, for a speed of 1*2=<<1*2=2>>2 miles per hour.
Brandon can skip at one-third the speed that Tony can, for a speed of 2*(1/3) = 2/3 miles per hour.
Colin can skip at six times the speed that Brandon can, for a speed of (2/3*6=4 miles per hour).
#### 4",4, 4 mph,False,0.6666666666666666,1,6.581097841262817,460,2,0,0.0009199999999999999,0.0009199999999999999
A farmer has 51 cows. The farmer adds five new cows to its herd and then sells a quarter of the herd. How many cows does the farmer have left?,"The farmer has 51+5 = <<51+5=56>>56 cows in its herd.
The farmer sells 56/4 = <<56/4=14>>14 cows of the herd.
The farmer now has 56-14 = <<56-14=42>>42 cows.
#### 42",42, 42,True,1.0,1,7.08353066444397,434,3,0,0.000868,0.000868
"Barbeck has two times as many guitars as Steve, but Davey has three times as many guitars as Barbeck. If there are 27 guitars altogether, how many guitars does Davey have?","Let x = the number of guitars Steve has.
Barbeck has 2x guitars, and Davey has 3 * 2x = 6x guitars.
2x + 6x + x = 27
9x = 27
x = 27 / 9 = <<27/9=3>>3 so Steve has 3 guitars.
Barbeck has 2 * 3 = <<2*3=6>>6 guitars.
And Davey has 3 * 6 = <<3*6=18>>18 guitars.
#### 18",18, 18.,True,1.0,1,8.755392074584961,466,4,0,0.000932,0.000932
"Remy sold 55 bottles of soda in the morning. Nick sold six fewer bottles of soda than Remy. The price per bottle is $.50. If their total evening sales are $55, how much more did they earn in the evening than in the morning?","Nick sold 55 - 6 = <<55-6=49>>49 bottles of soda in the morning.
They sold 55 + 49 = <<55+49=104>>104 bottles of soda altogether.
They earned a total of 104 x $.50 = $<<104*.50=52>>52 in the morning.
So, they earned $55 - $52 = $<<55-52=3>>3 more in the evening than in the morning.
#### 3",3, $3.,True,1.0,0,13.41671347618103,554,6,0,0.001108,0.001108
Connor sleeps 6 hours a night.  His older brother Luke sleeps 2 hours longer than Connor.  Connor’s new puppy sleeps twice as long as Luke.  How long does the puppy sleep?,"Luke sleeps 2 hours longer than Connor who sleeps 6 hours so that’s 2+6 = <<2+6=8>>8 hours
The new puppy sleeps twice as long as Luke, who sleeps 8 hours, so the puppy sleeps 2*8 = <<2*8=16>>16 hours
#### 16",16, 16 hours,False,0.6666666666666666,1,4.6503918170928955,407,2,0,0.0008139999999999999,0.0008139999999999999
"Jacoby wants to save money for a trip to Brickville. He needs to have $5000 total to go on his trip. He works a job earning $20 per hour and works 10 hours. He then finds he can sell cookies for $4 each, and he sells 24 pieces of cookies. With the money he has so far, he buys a lottery ticket for $10 and wins $500. Finally, he gets $500 from both of his sisters as a gift. How much more, in dollars, does Jacob need to go to Brickville?","Jacob earns $20 per hour * 10 hours = $<<20*10=200>>200 for working.
So he earns $4 each * 24 = $<<4*24=96>>96 for the cookies.
So far he has earned $200 + $96 = $<<200+96=296>>296.
He buys a lottery ticket so $296 - $10 = $<<296-10=286>>286 was left in his money.
After winning in a lottery, he had a total of $500 + $286 = $<<500+286=786>>786.
He gets $500 * 2 per sister = $<<500*2=1000>>1000 from her sisters.
So he has so far $1000 + $786 = $<<1000+786=1786>>1786.
He needs $5000 - $1786 = $<<5000-1786=3214>>3214.
#### 3214",3214, $3714.,False,0.0,0,14.335809707641602,594,4,0,0.001188,0.001188
There are 9 boys and 12 girls in a class. The teacher needs to create groups with three members for their class activity. How many groups are formed?,"There are 9 + 12 = <<9+12=21>>21 students in a class.
Hence, 21/3 = <<21/3=7>>7 groups are formed.
#### 7",7, 7 groups are formed.,False,0.4,1,8.136433839797974,432,3,0,0.000864,0.000864
"Jerry has three times as many stickers as George. George has 6 fewer stickers than his brother Fred. If Fred has 18 stickers, how many stickers does Jerry have?","George has 18 - 6 = <<18-6=12>>12 stickers.
Jerry has 12 * 3 = <<12*3=36>>36 stickers.
#### 36",36, 36,True,1.0,1,9.468721389770508,466,4,0,0.000932,0.000932
"Mrs. Watson is grading 120 final exams from her American History class.  On Monday, she grades 60% of the exams.  On Tuesday, she grades 75% of the remaining exams.  On Wednesday, how many more exams does she need to grade?","On Monday, Mrs. Watson grades 120 x 60% = <<120*60*.01=72>>72 final exams.
At the end of Monday, she has 120 - 72 = <<120-72=48>>48 exams left to grade.
On Tuesday, she grades 48 x 75% = <<48*75*.01=36>>36 final exams.
On Wednesday, she has 48 - 36 = <<48-36=12>>12 exams left to grade.
#### 12",12, Mrs. Watson needs to grade 12 more exams on Wednesday.,False,0.18181818181818182,1,10.429617404937744,509,5,0,0.001018,0.001018
"Yuri has been adopting puppies for a month now. The first week he adopted 20 puppies, the second week 2/5 times as many puppies as the first week, the third week twice the number of puppies he adopted in the second week, and the fourth week ten more puppies than he adopted on the first week. How many puppies does Yuri have now?","The number of adopted puppies in the second week is 2/5*20 puppies = <<2/5*20=8>>8 puppies
In the third week, Yuri adopted 2 * 8 puppies = <<2*8=16>>16 puppies
In the fourth week Yuri adopted ten more puppies than the third week, which totals 10 puppies + 20 puppies = <<10+20=30>>30 puppies.
The total number of puppies in the four weeks is 30 puppies +16 puppies + 8 puppies + 20 puppies = <<30+16+8+20=74>>74 puppies
#### 74",74, 74,True,1.0,1,8.666650295257568,493,2,0,0.000986,0.000986
Jack has 65 pounds of sugar today. Tomorrow he will use 18 pounds of sugar and the following day he will buy 50 more pounds of sugar. How many pounds will he have in the end?,"Jack will have 65-18 = <<65-18=47>>47 pounds of sugar tomorrow.
Jack will have 47+50 = <<47+50=97>>97 pounds of sugar the following day.
#### 97",97, 97 pounds.,False,0.6666666666666666,1,8.004055500030518,459,3,0,0.000918,0.000918
The total cost of staying at High Services Hotel is $40 per night per person. Jenny and two of her friends went to the hotel and stayed for three nights. What's the total amount of money they all paid together?,"If each of them stayed 3 nights, the total cost per person is $40/night * 3 nights = $<<40*3=120>>120
Since they were three, the combined cost is $120 + $120 + $120 = $<<120+120+120=360>>360
#### 360",360, $360,True,1.0,1,6.602161407470703,476,4,0,0.0009519999999999999,0.0009519999999999999
Joe played catch with Derek and Tammy. He caught the ball 23 times. Derek made four less than double the catches Joe did. Tammy caught the ball sixteen more than a third of the times Derek did. How many times did Tammy catch the ball?,"Derek caught the ball 2 * 23 - 4 = 46 - 4 = <<2*23-4=42>>42 times.
Tammy caught the ball 42 / 3 + 16 = 14 + 16 = <<42/3+16=30>>30 times.
#### 30",30, Tammy caught the ball approximately 16.67 times.,False,0.0,0,17.289915561676025,602,4,0,0.001204,0.001204
There are 7 mL of solution in each of 6 test tubes. Dr. Igor takes all of the solution and then evenly distributes it into 3 beakers. How many mL of solution are in each beaker?,"7 * 6 = <<7*6=42>>42 mL
42/3 = <<42/3=14>>14 mL
Each beaker holds 14 mL of solution.
#### 14",14, 14 mL,False,0.6666666666666666,1,6.148253917694092,423,2,0,0.000846,0.000846
A desert garden’s sprinkler system runs twice a day during the cool morning and evening hours. It waters the garden with four liters of water in the morning and six liters in the evening. How many days does it take the sprinkler system to use 50 liters of water?,"Every day, the sprinkler uses 4 + 6 = <<4+6=10>>10 liters of water.
Hence, it takes the sprinkler system 50 / 10 = <<50/10=5>>5 days to use 50 liters of water.
#### 5",5, 5 days,False,0.6666666666666666,1,6.228215932846069,443,3,0,0.000886,0.000886
"When you take Hiram's age and then add 12, you get 4 less than twice Allyson's age. If Hiram is 40 years old, how old is Allyson?","If Hiram's age is 40, when you add 12, his age becomes 40+12=<<40+12=52>>52
If you add 4 from Hiram's age after adding twelve to his age, you get 52+4 = 56, which is twice Allyson's age.
Allyson's age is 56/2 = <<56/2=28>>28 years
#### 28",28, 28,True,1.0,1,12.346719741821289,491,4,0,0.000982,0.000982
Dimitri eats 3 burgers per day. Each burger has a total of 20 calories. How many calories will he get after two days?,"The total number of calories he gets per day is 20 x 3 = <<20*3=60>>60.
Therefore the total number of calories he will get after 2 days is 60 x 2 = <<60*2=120>>120.
#### 120",120, 120.,True,1.0,1,7.308989524841309,435,3,0,0.00087,0.00087
